invoice_number,document_type,typeDte_description,client_name,address,tienda,date,description,product_type_name,quantity,price,total
92047,6,Factura Electrónica,GELO PLAZA MAIPU SPA,AVENIDA PORTALES 330,Plaza Maipu,2024-06-01,NOVA PAQUETE X 2 UNIDADES,INDIRECTO,"2,000000","7363,0",14726
92047,6,Factura Electrónica,GELO PLAZA MAIPU SPA,AVENIDA PORTALES 330,Plaza Maipu,2024-06-01,PANO MICROFIBRA,INDIRECTO,"4,000000","840,0",3360
92047,6,Factura Electrónica,GELO PLAZA MAIPU SPA,AVENIDA PORTALES 330,Plaza Maipu,2024-06-01,BOLSA DE BASURA NEGRA 80X110,INDIRECTO,"2,000000","2248,0",4496
92600,6,Factura Electrónica,KAMI ESTACION CENTRAL SPA,ALMIRANTE BLANCO ENCALADA Nro:2445,Estacion Central,2024-06-07,NOVA PAQUETE X 2 UNIDADES,INDIRECTO,"2,000000","7363,0",14726
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,BOLSA DE BASURA NEGRA 80X110,INDIRECTO,"4,000000","2248,0",8992
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,COFIAS 100 UN,INDIRECTO,"1,000000","2488,0",2488
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,CUBRECALZADOS ANTIDESLIZANTE,INDIRECTO,"1,000000","4088,0",4088
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,DESENGRASANTE BIDON 5 LITROS,INDIRECTO,"1,000000","7396,0",7396
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,ESPONJA UNIDAD,INDIRECTO,"4,000000","115,0",460
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,GUANTES NITRILO CAJA TALLA M,INDIRECTO,"1,000000","5738,0",5738
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,LAVALOZA INDUSTRIAL BIDON 5 LITROS,INDIRECTO,"1,000000","3250,0",3250
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,MANTENEDOR DE PISO BIDON 5 LITROS,INDIRECTO,"1,000000","3786,0",3786
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,MASCARILLAS CAJA,INDIRECTO,"1,000000","1113,0",1113
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,NOVA PAQUETE X 2 UNIDADES,INDIRECTO,"2,000000","7363,0",14726
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,SPONTEX PAQUETE,INDIRECTO,"1,000000","1813,0",1813
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,TRAPERO MICROFIBRA UNIDAD,INDIRECTO,"4,000000","1591,0",6364
91837,6,Factura Electrónica,KAMI QUILICURA SPA,AV LO CRUZAT 0460,Quilicura,2024-06-01,VIRUTILLA GRUESA UNIDAD,INDIRECTO,"4,000000","150,0",600
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,CAMARON S CASCARA KG,INDIRECTO,"8,000000","7238,0",57904
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,GYOSAS CAMARON SHEN UNIDAD,INDIRECTO,"1,000000","5525,0",5525
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,GYOSAS CERDO SHEN UNIDAD,INDIRECTO,"1,000000","4191,0",4191
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,GYOSAS POLLO SHEN UNIDAD,INDIRECTO,"1,000000","4191,0",4191
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,KANIKAMA KILO,INDIRECTO,"8,000000","2750,0",22000
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,PECHUGA DESHUESADA KG,INDIRECTO,"15,000000","4225,0",63375
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,REINETA SIN PIEL KILO,INDIRECTO,"5,000000","9000,0",45000
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,SALMON FILETE TRIMD 3 4 PREMIUM KILO,INDIRECTO,"1,600000","14000,0",22400
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,ARROZ MANGA 10 KG,INDIRECTO,"8,000000","14375,0",115000
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,CEBOLLA MORADA KILO,INDIRECTO,"1,000000","2109,0",2109
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,CEBOLLIN DOCENA,INDIRECTO,"4,000000","8125,0",32500
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,CIBOULLETE DOCENA,INDIRECTO,"4,000000","3750,0",15000
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,PIMENTON ROJO KILO,INDIRECTO,"1,000000","6250,0",6250
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,PIMENTON VERDE KILO,INDIRECTO,"1,000000","5688,0",5688
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,QUESO CREMA 6 8 KG,INDIRECTO,"2,000000","45563,0",91126
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,VINAGRE PREPARADO TINETA,INDIRECTO,"1,000000","24283,0",24283
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,PANKO BOLSA 1 KG,INDIRECTO,"10,000000","2063,0",20630
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,PALITOS PAQUETE,INDIRECTO,"8,000000","2000,0",16000
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,HARINA 1 KG,INDIRECTO,"10,000000","1325,0",13250
92266,6,Factura Electrónica,KAMI COLINA SPA,Carretera Gral. San Mar 359 Dpto 6,Colina,2024-06-03,243 PLASTICO 300 UNIDADES,INDIRECTO,"2,000000","25125,0",50250
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,ATUN 500GRS,INDIRECTO,"1,000000","3745,0",3745
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,CAMARON S CASCARA KG,INDIRECTO,"10,000000","7238,0",72380
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,KANIKAMA KILO,INDIRECTO,"10,000000","2750,0",27500
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,PAPAS PRE FRITAS BOLSA 2 5 KG 7X7 MM,INDIRECTO,"2,000000","5825,0",11650
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,PECHUGA DESHUESADA KG,INDIRECTO,"60,000000","4225,0",253500
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,REINETA SIN PIEL KILO,INDIRECTO,"10,000000","9000,0",90000
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,SALMON FILETE TRIMD 3 4 PREMIUM KILO,INDIRECTO,"1,600000","14000,0",22400
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,HUEVO EN POLVO PAQUETE 500 GRS,INDIRECTO,"2,000000","4625,0",9250
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,SESAMO BLANCO 1 KG,INDIRECTO,"1,000000","5313,0",5313
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,SESAMO NEGRO 1K G,INDIRECTO,"1,000000","6224,0",6224
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,CHOCLO TARRO 400 GRS,INDIRECTO,"12,000000","1041,0",12492
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,CHAMPINON TARRO 400 GRS,INDIRECTO,"12,000000","1613,0",19356
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,PALMITOS TARRO ENTERO 800 GRS,INDIRECTO,"12,000000","4438,0",53256
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,ARROZ MANGA 10 KG,INDIRECTO,"15,000000","14375,0",215625
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,CEBOLLIN DOCENA,INDIRECTO,"1,000000","8125,0",8125
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,CIBOULLETE DOCENA,INDIRECTO,"2,000000","3750,0",7500
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,PALTA HASS KILO,INDIRECTO,"20,000000","5500,0",110000
92445,6,Factura Electrónica,YOBINSON EL BOSQUE SPA,Av. Padre Hurtado Nº 13280,El Bosque,2024-06-05,ESTERILLA BAMBOO,INDIRECTO,"4,000000","1188,0",4752
